CGPA,Internship,Aptitude,Communication,Coding,Projects,Placed
5.1,0,41,50,87,0,No
8.3,1,72,76,73,3,Yes
9.1,0,58,86,60,1,Yes
8.4,0,43,53,72,1,Yes
8.9,1,69,55,98,7,Yes
8.8,0,49,97,89,2,Yes
7.2,1,89,46,85,4,Yes
7.7,0,44,87,80,4,Yes
8.1,0,59,73,91,5,Yes
6.0,0,74,72,93,4,Yes
8.1,1,78,93,54,0,Yes
8.5,0,54,92,47,1,Yes
7.8,1,92,84,79,2,Yes
6.3,1,70,85,48,0,Yes
7.4,0,61,51,84,7,Yes
8.1,1,57,71,92,7,Yes
6.7,1,47,76,64,5,Yes
7.7,1,73,45,75,7,Yes
9.7,0,62,73,100,6,Yes
7.2,0,91,66,71,7,Yes
8.6,1,97,61,61,7,Yes
6.0,1,51,79,43,7,Yes
6.3,0,43,91,100,4,Yes
5.8,1,48,93,88,0,Yes
5.7,1,58,70,47,2,Yes
8.9,0,52,80,50,4,Yes
6.6,1,77,68,98,4,Yes
7.2,0,89,72,87,3,Yes
9.9,1,49,92,90,0,Yes
7.6,1,94,93,80,1,Yes
7.9,1,67,98,97,6,Yes
6.2,1,52,48,41,6,No
9.6,1,61,42,74,0,Yes
8.1,0,70,55,83,8,Yes
8.3,0,54,63,42,7,Yes
7.8,1,66,61,48,0,Yes
6.0,1,60,57,41,7,Yes
9.2,0,49,72,88,3,Yes
5.5,1,67,53,82,0,Yes
8.0,1,90,99,71,5,Yes
7.2,1,76,41,58,7,Yes
7.3,1,42,45,77,7,Yes
5.9,1,69,54,49,8,Yes
6.2,0,80,47,76,8,Yes
9.3,1,41,53,51,6,Yes
6.7,0,74,47,79,0,Yes
9.1,1,80,98,46,1,Yes
7.6,0,52,75,45,7,Yes
5.4,1,56,50,79,7,Yes
9.7,1,96,69,61,3,Yes
7.8,0,47,43,51,8,Yes
6.1,1,57,55,67,6,Yes
9.0,0,94,84,68,1,Yes
8.0,1,93,92,82,5,Yes
7.4,1,80,80,91,5,Yes
8.0,0,93,88,43,3,Yes
7.4,1,64,95,86,1,Yes
9.7,0,92,59,92,4,Yes
9.8,1,97,62,71,1,Yes
7.1,0,46,94,83,5,Yes
5.6,0,98,62,99,0,Yes
6.6,0,65,40,89,4,Yes
5.6,1,45,98,54,2,Yes
7.3,1,87,72,72,6,Yes
9.8,0,81,43,51,5,Yes
7.4,1,94,74,45,4,Yes
8.5,0,68,47,61,3,Yes
6.3,0,70,93,52,6,Yes
7.7,1,40,68,86,7,Yes
6.7,0,92,41,88,4,Yes
5.1,1,68,45,93,4,Yes
6.7,0,98,64,63,7,Yes
7.0,0,100,94,52,2,Yes
8.4,0,89,87,97,8,Yes
7.6,1,40,46,64,0,No
8.5,1,52,93,50,1,Yes
5.3,0,90,58,88,1,Yes
6.0,1,58,47,72,5,Yes
7.5,0,91,74,100,5,Yes
9.0,0,75,65,50,3,Yes
5.1,0,53,87,90,0,Yes
8.7,0,57,86,54,7,Yes
6.6,1,69,85,53,2,Yes
7.9,1,94,43,97,6,Yes
6.8,1,41,54,66,7,Yes
8.0,0,69,55,98,6,Yes
7.7,1,71,53,41,2,Yes
8.5,0,51,53,99,0,Yes
7.7,1,94,76,52,2,Yes
5.2,0,96,67,45,7,Yes
8.4,0,100,98,53,8,Yes
9.9,1,88,73,68,4,Yes
10.0,0,75,96,74,5,Yes
9.9,0,60,77,88,4,Yes
7.3,0,71,69,83,5,Yes
6.4,0,94,54,57,0,Yes
7.9,1,63,68,79,1,Yes
7.4,0,46,44,83,3,Yes
7.5,1,42,94,62,4,Yes
8.7,1,54,67,95,7,Yes
5.9,0,97,81,48,8,Yes
6.2,0,88,56,62,7,Yes
8.2,1,51,47,69,2,Yes
5.7,0,59,56,86,7,Yes
5.7,1,57,61,66,5,Yes
5.1,1,75,46,54,8,Yes
8.7,0,76,48,71,8,Yes
6.5,0,40,60,81,1,Yes
6.4,0,72,99,67,2,Yes
8.2,1,71,82,45,2,Yes
7.6,1,89,90,55,0,Yes
8.0,1,73,68,65,4,Yes
5.9,1,58,63,87,8,Yes
6.2,1,78,54,97,0,Yes
7.3,0,64,72,68,3,Yes
5.5,0,54,57,82,7,Yes
7.3,1,67,87,45,6,Yes
8.8,0,87,79,80,0,Yes
6.2,0,71,82,88,4,Yes
8.2,0,63,75,65,1,Yes
9.2,1,62,44,80,6,Yes
8.8,0,57,96,75,4,Yes
7.9,0,56,59,40,6,Yes
6.2,1,70,74,66,2,Yes
9.7,1,81,47,86,0,Yes
7.1,0,85,43,48,2,Yes
8.3,0,93,53,80,5,Yes
7.5,1,52,61,47,3,Yes
7.9,0,53,74,78,6,Yes
7.4,1,41,88,97,0,Yes
8.2,0,72,91,46,7,Yes
9.4,0,60,84,41,6,Yes
9.2,1,88,71,57,2,Yes
8.8,1,46,85,69,8,Yes
7.6,0,66,94,94,8,Yes
5.4,1,99,70,84,1,Yes
9.4,0,91,41,54,2,Yes
5.7,1,94,82,47,2,Yes
9.8,1,48,89,67,6,Yes
5.3,0,78,43,61,6,Yes
7.8,1,55,98,78,7,Yes
8.8,0,69,58,55,5,Yes
5.6,0,91,82,61,6,Yes
7.5,0,66,76,97,5,Yes
6.8,1,43,73,93,3,Yes
7.2,0,54,87,45,7,Yes
8.8,0,49,49,100,1,Yes
10.0,1,44,48,63,6,Yes
5.6,0,87,79,86,7,Yes
7.9,0,97,82,53,8,Yes
7.5,1,78,63,58,4,Yes
7.1,0,84,94,92,3,Yes
8.3,0,66,47,58,7,Yes
6.0,0,76,44,84,1,Yes
6.9,1,43,91,41,2,Yes
8.4,1,50,72,61,7,Yes
8.2,0,68,42,80,7,Yes
7.2,0,46,94,62,7,Yes
9.7,0,61,95,53,2,Yes
9.6,1,70,69,64,8,Yes
7.7,0,67,67,48,6,Yes
9.4,1,48,77,42,0,Yes
8.5,0,70,89,54,2,Yes
5.5,1,97,92,84,8,Yes
9.6,0,71,97,84,6,Yes
8.0,1,41,42,59,0,No
6.2,1,61,78,58,4,Yes
7.8,1,94,84,91,0,Yes
8.5,0,69,40,80,6,Yes
6.0,1,49,40,83,7,Yes
5.5,1,47,93,54,4,Yes
6.8,1,47,58,47,0,No
8.1,0,52,68,67,6,Yes
5.4,1,40,61,69,2,No
9.7,0,96,89,40,8,Yes
7.9,1,62,80,64,5,Yes
9.7,1,86,58,80,1,Yes
9.7,0,52,89,46,4,Yes
7.2,0,42,74,63,8,Yes
7.9,1,77,66,44,5,Yes
5.6,0,73,84,69,4,Yes
7.5,0,69,54,84,3,Yes
9.0,0,97,63,68,8,Yes
9.9,1,75,48,50,8,Yes
6.4,1,78,65,54,5,Yes
5.3,0,43,44,68,2,No
8.0,0,47,40,94,3,Yes
7.8,0,61,81,100,5,Yes
8.7,1,64,98,100,5,Yes
7.7,0,100,50,55,7,Yes
7.4,0,86,74,65,5,Yes
6.5,1,78,48,74,1,Yes
9.4,0,46,82,90,1,Yes
6.2,0,63,53,57,4,Yes
7.9,1,94,51,95,6,Yes
8.0,0,40,97,72,8,Yes
6.5,1,41,57,63,7,Yes
6.2,1,42,96,99,7,Yes
9.5,0,94,44,91,1,Yes
8.4,0,89,93,94,8,Yes
8.9,1,91,90,51,6,Yes
8.7,0,71,78,50,8,Yes
6.9,1,66,64,88,6,Yes
8.7,0,77,94,68,1,Yes
9.5,1,79,41,83,7,Yes
8.7,1,44,73,83,8,Yes
9.4,1,40,69,80,8,Yes
6.7,1,87,40,93,0,Yes
5.5,0,89,42,44,2,No
7.4,1,54,85,49,6,Yes
8.0,0,72,69,45,6,Yes
5.2,0,88,97,71,0,Yes
10.0,1,93,46,82,8,Yes
7.1,1,83,49,75,4,Yes
9.1,1,73,46,86,8,Yes
8.5,1,81,57,68,3,Yes
9.6,0,54,76,53,8,Yes
7.6,1,84,57,90,1,Yes
8.1,0,87,59,74,7,Yes
9.6,1,90,41,70,3,Yes
8.6,1,62,49,98,8,Yes
7.4,1,69,98,64,8,Yes
7.8,1,78,95,69,5,Yes
6.8,0,92,48,96,3,Yes
9.9,1,93,41,43,3,Yes
6.7,1,54,45,56,6,Yes
5.9,1,50,42,96,2,Yes
10.0,1,66,72,58,2,Yes
5.9,0,66,42,41,7,No
7.9,1,44,67,54,4,Yes
5.4,1,58,65,42,0,No
6.5,0,95,95,78,5,Yes
9.7,0,73,80,89,5,Yes
5.6,1,52,94,46,3,Yes
6.6,1,98,77,86,6,Yes
9.7,1,84,52,92,3,Yes
8.5,1,64,45,56,6,Yes
5.0,1,40,87,46,1,No
6.5,1,99,51,79,5,Yes
6.2,1,95,88,88,6,Yes
9.6,1,45,94,99,8,Yes
5.0,1,74,44,41,1,No
8.9,1,55,90,82,7,Yes
6.3,1,86,40,61,2,Yes
9.0,1,50,93,78,8,Yes
7.6,0,77,60,53,3,Yes
9.5,1,66,59,89,4,Yes
9.0,0,97,50,74,7,Yes
8.8,1,72,83,65,7,Yes
7.3,0,60,58,48,1,No
6.2,1,80,70,81,0,Yes
7.5,0,50,50,60,3,No
8.6,0,70,47,77,0,Yes
6.5,1,90,73,80,7,Yes
6.3,0,71,71,55,0,Yes
7.6,0,73,80,93,6,Yes
8.0,1,57,93,88,0,Yes
9.7,1,93,60,71,6,Yes
7.7,0,54,44,82,3,Yes
8.8,0,59,52,100,1,Yes
9.7,0,84,82,40,2,Yes
6.4,0,59,92,86,3,Yes
10.0,0,58,70,93,1,Yes
9.3,0,46,44,85,4,Yes
6.1,1,95,80,52,8,Yes
8.2,0,52,80,90,6,Yes
5.7,0,41,40,82,2,No
5.4,0,92,50,83,1,Yes
9.8,1,49,49,56,0,Yes
7.8,0,42,96,97,8,Yes
5.2,0,49,66,86,4,Yes
7.2,1,47,87,54,0,Yes
9.7,1,46,71,69,1,Yes
6.2,1,92,78,53,4,Yes
9.4,0,95,79,99,6,Yes
9.7,1,50,86,68,5,Yes
8.0,1,69,48,45,6,Yes
8.4,1,75,80,68,6,Yes
5.6,0,55,57,100,1,Yes
9.5,0,67,50,89,7,Yes
6.1,1,50,84,48,2,Yes
8.5,0,74,77,69,5,Yes
6.9,1,46,77,73,6,Yes
5.3,0,68,84,82,2,Yes
8.9,1,92,77,99,4,Yes
7.0,1,79,50,50,4,Yes
8.7,0,70,98,99,2,Yes
5.3,0,64,66,66,3,Yes
5.3,1,89,80,78,7,Yes
7.4,1,61,78,83,6,Yes
5.6,0,78,69,94,2,Yes
7.0,1,62,88,86,8,Yes
6.4,0,91,58,50,7,Yes
6.0,0,80,72,71,3,Yes
9.2,0,69,46,46,3,Yes
7.0,0,58,99,62,2,Yes
6.0,1,62,68,86,6,Yes
9.0,1,77,92,53,4,Yes
6.1,0,66,66,44,7,Yes
7.0,1,48,71,65,0,Yes
8.4,0,85,88,67,6,Yes
5.0,1,57,60,52,7,Yes
5.3,0,89,100,65,8,Yes
8.6,0,48,51,59,7,Yes
5.0,0,53,46,65,6,No
9.1,1,88,55,55,7,Yes
6.7,1,65,41,68,4,Yes
5.2,1,96,68,55,4,Yes
7.9,0,46,42,70,2,No
5.4,1,92,95,77,2,Yes
9.9,0,75,75,94,6,Yes
7.5,0,75,92,79,3,Yes
5.8,0,60,61,55,0,No
9.0,1,61,95,78,4,Yes
6.7,0,87,95,58,0,Yes
7.8,1,60,70,56,0,Yes
5.6,0,77,74,93,1,Yes
7.4,0,44,80,64,4,Yes
9.0,1,98,65,65,7,Yes
6.6,0,53,78,83,0,Yes
8.3,0,98,79,93,5,Yes
7.6,1,42,50,91,2,Yes
5.4,0,40,93,46,3,No
7.4,0,71,56,42,3,Yes
7.5,0,92,66,44,1,Yes
6.2,1,48,44,93,0,Yes
7.1,1,60,65,56,3,Yes
8.5,0,97,91,57,6,Yes
9.3,1,51,86,68,6,Yes
7.9,0,49,91,52,2,Yes
6.0,1,54,66,45,7,Yes
5.7,1,93,96,63,1,Yes
7.0,0,53,86,100,8,Yes
8.6,0,91,49,53,3,Yes
7.2,0,74,72,59,8,Yes
7.2,0,81,47,84,3,Yes
5.6,1,45,89,60,5,Yes
5.3,0,62,75,82,6,Yes
9.1,0,59,97,90,7,Yes
8.4,1,70,100,54,7,Yes
9.7,0,73,69,48,6,Yes
9.9,0,69,69,71,7,Yes
7.1,1,94,84,48,8,Yes
8.6,0,77,84,98,2,Yes
9.3,1,85,47,61,5,Yes
7.6,1,78,84,66,4,Yes
9.5,0,72,50,88,7,Yes
6.0,1,90,97,84,2,Yes
5.1,1,94,69,62,6,Yes
9.2,0,80,66,48,0,Yes
7.0,0,41,93,52,3,Yes
7.8,0,65,77,46,3,Yes
7.0,1,58,46,94,6,Yes
7.2,0,98,78,74,3,Yes
10.0,0,42,97,70,8,Yes
7.4,0,52,58,70,3,Yes
7.4,1,46,51,94,4,Yes
9.2,1,74,54,62,3,Yes
7.1,0,90,76,60,4,Yes
7.2,1,90,67,93,0,Yes
8.6,1,42,73,72,4,Yes
5.8,1,64,49,64,4,Yes
9.0,1,82,94,79,2,Yes
7.8,1,73,97,91,7,Yes
9.7,1,48,74,50,2,Yes
9.8,0,87,57,70,3,Yes
5.8,0,57,57,87,1,Yes
6.8,0,98,67,56,1,Yes
6.5,0,49,54,67,5,Yes
7.8,0,92,73,55,8,Yes
8.2,0,59,77,42,6,Yes
5.7,0,58,42,50,1,No
5.4,1,56,95,97,7,Yes
6.8,1,88,97,44,7,Yes
8.2,1,61,67,49,5,Yes
9.7,1,44,43,78,0,Yes
7.5,1,97,48,43,4,Yes
7.3,1,69,48,91,1,Yes
9.2,0,95,82,90,8,Yes
9.0,1,63,46,75,7,Yes
8.0,1,79,80,100,2,Yes
9.6,0,57,79,42,7,Yes
7.7,0,80,42,81,0,Yes
7.2,1,67,50,98,0,Yes
7.9,0,56,67,40,3,Yes
9.8,0,81,41,56,8,Yes
7.0,1,53,85,73,6,Yes
5.5,1,49,44,93,3,Yes
6.4,1,82,76,66,4,Yes
7.7,0,96,56,68,7,Yes
6.6,0,79,78,77,7,Yes
5.2,0,51,54,42,0,No
9.8,0,90,58,56,1,Yes
7.5,0,96,47,90,4,Yes
6.9,1,69,77,57,8,Yes
8.5,0,41,47,98,0,Yes
7.9,1,56,90,41,4,Yes
6.1,0,44,51,63,3,No
9.8,0,56,58,79,6,Yes
8.6,0,92,40,72,0,Yes
6.8,0,89,98,96,8,Yes
5.2,1,76,78,45,0,Yes
6.8,1,92,92,67,4,Yes
6.4,1,69,88,100,6,Yes
9.8,1,64,81,75,6,Yes
8.2,1,93,79,63,3,Yes
7.7,1,66,77,80,6,Yes
5.1,0,96,51,56,8,Yes
6.9,0,81,65,86,2,Yes
6.7,1,97,45,64,1,Yes
5.0,0,85,87,94,6,Yes
8.6,1,56,68,81,0,Yes
8.4,1,45,86,55,7,Yes
5.3,0,68,42,57,3,No
6.4,0,61,99,94,4,Yes
9.0,1,68,99,69,1,Yes
5.3,0,87,57,96,6,Yes
7.6,1,89,84,81,0,Yes
9.4,1,56,52,76,8,Yes
9.2,0,63,95,53,8,Yes
7.7,0,91,97,81,0,Yes
6.3,1,90,70,72,1,Yes
9.4,0,44,75,60,1,Yes
7.9,0,93,41,59,5,Yes
8.6,0,51,48,40,0,No
5.9,0,63,64,75,8,Yes
6.9,0,46,94,88,2,Yes
7.7,1,43,47,69,2,Yes
8.9,0,77,42,72,7,Yes
9.2,0,94,49,48,5,Yes
6.3,1,47,80,61,6,Yes
7.3,0,84,46,57,5,Yes
5.7,1,73,79,87,7,Yes
9.3,0,69,46,84,5,Yes
9.4,1,82,56,57,7,Yes
8.2,1,68,93,52,0,Yes
5.6,1,76,60,84,1,Yes
9.6,0,60,85,54,6,Yes
5.6,1,45,92,96,0,Yes
7.3,0,62,90,52,3,Yes
8.1,0,99,90,70,0,Yes
8.3,0,100,94,99,2,Yes
8.6,0,89,46,78,3,Yes
9.5,0,76,75,96,4,Yes
9.8,0,97,79,75,6,Yes
7.4,0,61,43,83,3,Yes
9.2,1,91,65,68,2,Yes
7.5,1,70,44,92,0,Yes
9.2,1,91,80,69,0,Yes
8.2,1,83,85,70,1,Yes
7.4,1,66,46,73,1,Yes
5.9,0,75,71,64,2,Yes
8.5,0,47,75,90,4,Yes
6.9,0,52,66,49,0,No
8.1,0,57,63,92,7,Yes
8.3,1,42,99,54,1,Yes
9.2,1,46,84,96,2,Yes
6.1,0,61,42,61,8,Yes
7.2,0,69,59,66,1,Yes
9.7,0,100,76,67,1,Yes
6.5,1,91,55,62,5,Yes
5.1,1,56,55,62,2,No
9.4,0,52,82,42,3,Yes
8.6,1,67,52,76,4,Yes
7.4,0,88,57,96,8,Yes
9.3,1,100,97,57,2,Yes
9.4,1,42,75,58,1,Yes
8.0,1,55,44,92,8,Yes
5.4,0,76,90,89,7,Yes
5.9,0,95,51,92,0,Yes
8.3,0,89,94,72,8,Yes
9.1,0,60,54,46,7,Yes
6.8,0,86,95,82,2,Yes
9.6,0,75,91,91,1,Yes
7.1,0,56,91,59,3,Yes
8.9,0,80,77,100,6,Yes
9.7,0,62,93,52,5,Yes
9.3,0,41,91,96,6,Yes
7.6,0,46,72,85,3,Yes
6.5,1,73,72,42,8,Yes
7.2,1,72,80,68,5,Yes
6.4,1,46,80,42,6,Yes
7.3,1,50,45,57,5,Yes
5.5,1,89,59,73,8,Yes
7.5,0,57,40,61,0,No
8.8,1,57,53,71,3,Yes
6.8,0,50,78,46,6,Yes
8.1,1,49,41,47,7,Yes
9.2,0,42,42,95,1,Yes
8.7,0,73,82,48,5,Yes
9.3,1,95,41,46,6,Yes
7.9,1,65,86,79,6,Yes
6.2,1,97,83,77,5,Yes
7.4,0,83,44,88,7,Yes
9.4,0,75,84,84,2,Yes
7.9,0,79,86,45,6,Yes
7.2,1,53,47,47,7,Yes
7.1,0,69,92,46,3,Yes
9.4,1,97,66,76,4,Yes
9.2,0,76,66,67,1,Yes
5.9,1,64,60,43,1,No
9.3,0,65,91,90,3,Yes
9.8,0,80,79,95,7,Yes
6.1,1,56,56,75,3,Yes
9.4,0,61,50,66,6,Yes
9.3,0,81,79,69,1,Yes
9.1,1,80,53,80,1,Yes
7.8,0,99,52,100,2,Yes
9.9,1,62,94,52,1,Yes
7.6,0,90,65,56,3,Yes
9.1,1,66,94,72,1,Yes
6.6,1,70,66,40,1,Yes
8.4,0,40,84,66,0,Yes
8.4,0,81,55,66,1,Yes
6.0,0,97,81,87,1,Yes
6.7,1,75,91,100,6,Yes
8.4,1,99,68,56,3,Yes
7.7,1,70,89,76,1,Yes
8.6,0,73,92,50,8,Yes
6.2,1,43,73,65,1,Yes
6.3,1,65,63,43,7,Yes
8.3,0,97,67,47,5,Yes
5.0,1,83,78,65,2,Yes
7.2,0,40,81,86,5,Yes
7.8,1,58,99,42,6,Yes
7.0,1,71,65,49,7,Yes
7.9,0,45,81,58,7,Yes
6.0,1,83,48,48,8,Yes
8.1,0,68,97,52,7,Yes
7.9,1,96,73,53,6,Yes
9.2,0,41,83,84,5,Yes
5.4,0,72,84,55,6,Yes
7.7,0,100,64,76,5,Yes
6.2,0,55,72,43,8,Yes
8.4,1,89,87,58,2,Yes
9.7,0,45,50,82,6,Yes
7.8,0,49,60,98,4,Yes
9.2,1,61,72,75,1,Yes
6.4,1,50,59,89,1,Yes
7.9,1,81,68,47,1,Yes
6.2,1,92,82,79,7,Yes
8.4,0,53,55,51,1,No
6.0,1,94,47,46,7,Yes
8.4,1,98,91,55,2,Yes
5.7,1,46,60,90,8,Yes
7.5,1,66,47,96,5,Yes
9.5,0,80,79,58,1,Yes
8.7,0,91,56,51,8,Yes
9.5,0,86,99,99,2,Yes
8.7,0,99,98,53,3,Yes
9.9,1,84,88,41,5,Yes
9.4,1,94,92,48,4,Yes
6.5,1,57,72,98,0,Yes
8.0,1,59,75,89,1,Yes
7.7,0,99,59,75,8,Yes
9.2,0,52,61,58,7,Yes
9.7,1,71,79,63,1,Yes
7.5,0,84,63,75,6,Yes
8.7,1,98,66,88,4,Yes
8.8,1,44,51,100,4,Yes
9.9,1,44,65,87,4,Yes
7.1,1,44,87,100,2,Yes
8.5,0,66,59,87,7,Yes
7.2,0,45,96,54,0,Yes
8.6,0,99,65,49,4,Yes
8.2,1,67,66,69,6,Yes
9.8,0,97,49,99,7,Yes
9.0,0,73,99,97,7,Yes
9.8,0,99,51,69,1,Yes
7.0,1,52,52,95,7,Yes
6.6,0,66,63,97,7,Yes
7.7,0,81,50,81,5,Yes
8.2,0,74,92,40,5,Yes
8.9,1,97,83,83,6,Yes
5.7,0,82,75,59,8,Yes
7.6,0,54,71,66,6,Yes
5.6,0,52,74,96,8,Yes
5.0,0,74,92,64,0,Yes
7.3,0,91,66,97,7,Yes
7.5,0,58,59,83,0,Yes
9.6,0,85,57,86,2,Yes
7.3,0,91,40,81,1,Yes
5.5,1,86,100,61,4,Yes
7.0,1,60,43,71,5,Yes
7.2,0,94,74,68,2,Yes
6.6,1,45,83,60,0,Yes
6.8,1,54,88,43,6,Yes
5.7,0,99,54,59,8,Yes
7.4,0,60,41,77,3,Yes
6.7,0,92,53,65,4,Yes
5.9,1,92,79,71,0,Yes
9.6,1,50,44,83,2,Yes
9.0,1,88,56,94,5,Yes
9.4,1,87,92,96,0,Yes
6.8,1,90,98,61,8,Yes
10.0,1,43,57,72,4,Yes
5.1,1,72,56,64,4,Yes
7.6,1,97,85,44,6,Yes
7.8,0,78,40,64,7,Yes
7.0,0,41,74,80,6,Yes
6.8,0,96,86,66,5,Yes
8.4,0,90,87,95,4,Yes
9.7,0,69,45,59,1,Yes
7.2,0,81,42,48,6,Yes
6.5,1,42,41,44,8,No
5.8,0,96,88,56,2,Yes
9.3,0,66,98,58,5,Yes
7.5,0,83,69,82,8,Yes
9.7,0,93,58,48,3,Yes
9.1,0,90,63,82,2,Yes
8.9,0,64,47,48,6,Yes
8.6,1,89,51,100,3,Yes
9.2,1,55,51,51,4,Yes
8.1,1,55,45,92,4,Yes
9.1,0,50,61,85,0,Yes
9.6,1,54,81,56,5,Yes
8.0,1,73,74,64,3,Yes
8.9,1,84,41,98,8,Yes
9.8,1,53,51,80,7,Yes
6.0,0,60,90,63,1,Yes
5.9,1,51,96,75,7,Yes
8.7,1,82,94,48,6,Yes
5.2,0,62,60,47,4,No
6.8,0,45,48,57,7,Yes
6.1,1,78,55,78,3,Yes
9.7,1,96,64,55,1,Yes
5.5,1,68,98,44,8,Yes
5.8,1,82,90,86,5,Yes
7.5,0,94,41,96,3,Yes
8.0,0,59,71,76,6,Yes
6.4,0,84,40,61,0,No
8.2,0,80,92,66,0,Yes
5.7,1,42,52,69,0,No
6.8,1,41,62,42,3,No
9.4,1,74,69,54,7,Yes
5.9,0,70,88,82,0,Yes
7.9,1,42,74,51,0,Yes
5.1,1,77,56,52,5,Yes
9.2,1,94,65,69,5,Yes
5.2,0,86,74,69,5,Yes
7.6,0,50,49,56,7,Yes
5.8,1,76,75,82,1,Yes
9.3,1,75,77,80,8,Yes
6.5,1,51,51,90,1,Yes
9.5,1,59,92,76,1,Yes
8.7,1,99,91,57,5,Yes
9.5,0,40,91,63,3,Yes
7.5,0,66,86,99,1,Yes
9.8,1,100,61,57,7,Yes
6.0,0,49,46,59,8,Yes
7.1,1,58,92,61,6,Yes
7.3,1,95,57,67,4,Yes
8.2,1,76,60,65,0,Yes
8.7,1,99,67,97,0,Yes
9.2,0,87,47,98,1,Yes
6.2,1,52,43,93,2,Yes
6.1,0,72,56,48,3,Yes
5.3,0,58,93,70,1,Yes
6.6,0,65,66,49,0,No
8.0,0,78,79,70,7,Yes
6.1,1,86,88,50,7,Yes
8.2,0,81,92,98,0,Yes
8.4,0,78,40,65,7,Yes
7.7,1,62,82,47,2,Yes
8.3,1,43,88,60,5,Yes
5.6,0,80,85,90,1,Yes
7.4,0,60,84,58,2,Yes
6.0,1,87,61,77,5,Yes
5.4,0,67,79,66,0,Yes
6.3,0,43,85,65,4,Yes
8.5,1,79,91,63,4,Yes
8.1,0,78,57,82,3,Yes
9.5,0,81,50,90,1,Yes
8.5,1,90,78,49,4,Yes
6.0,0,81,86,96,1,Yes
5.3,1,91,55,48,6,Yes
9.5,1,67,76,94,6,Yes
9.0,1,66,85,54,3,Yes
5.0,0,89,68,51,4,Yes
6.5,1,40,50,46,3,No
7.2,0,43,94,75,6,Yes
7.3,1,81,92,87,6,Yes
5.9,1,63,88,69,1,Yes
8.1,0,59,80,54,7,Yes
6.5,1,44,46,64,8,Yes
7.3,0,54,65,83,8,Yes
5.3,0,43,86,73,4,Yes
8.6,1,40,54,53,0,No
7.8,1,43,85,89,5,Yes
7.7,1,87,60,65,8,Yes
6.8,1,68,95,40,4,Yes
5.7,0,41,74,93,1,Yes
7.5,0,45,67,53,7,Yes
6.6,1,56,42,47,3,No
6.4,1,47,80,100,1,Yes
9.0,1,88,66,68,0,Yes
6.0,0,92,78,49,4,Yes
7.4,1,70,86,78,8,Yes
7.5,1,90,47,87,6,Yes
8.0,0,87,59,70,6,Yes
5.5,1,50,74,89,8,Yes
